number of items,linear search,binary search,recursive search,creation time,sort time
1000,12894,539,7110,36224000,21139100
2000,4772,595,12771,97200,1151800
3000,6737,786,14136,205300,1400000
4000,7396,275,15527,306400,519900
5000,9189,277,19072,233900,603400
6000,25360,474,32290,297100,24678600
7000,33932,390,36513,419700,1062300
8000,3628,341,2465117,332500,1157500
9000,2455,264,10840,373500,1710300
10000,3364,306,16416,396400,1682500
11000,4081,351,35856,433800,1944800
12000,6903,480,60645,726500,3078300
13000,5708,466,22148,568900,3090200
14000,5672,332,23722,450700,2355100
15000,5785,358,31003,450500,2056900
16000,5936,339,62976,500900,1907900
17000,6991,452,79546,484100,1795100
18000,7037,389,83121,717300,2124400
19000,7698,392,35072,692000,3354600
20000,6937,348,29231,601900,2214900
21000,8503,362,34442,616000,3080700
22000,7488,342,29043,582000,2612300
23000,7182,532,50446,646400,2386800
24000,7950,386,34560,694200,2613600
25000,10677,429,48360,677800,3061400
26000,9852,196,31020,837700,3475500
27000,9837,378,115879,739800,3629400
28000,8483,205,106120,792300,2925600
29000,8363,203,106529,900600,1752400
30000,8876,212,116193,828200,1807000
31000,9966,197,84550,892600,2001000
32000,11652,223,51086,898900,1949700
33000,11842,209,57408,930000,2090400
34000,11590,213,43843,906300,2763000
35000,10765,215,55839,1008400,2411700
36000,13199,377,52336,1024800,2525300
37000,11596,790,62670,1125800,2249900
38000,13562,422,58993,1231300,2451700
39000,14829,239,66545,982800,2380300
40000,12886,355,68363,1083900,2560500
41000,20890,277,75322,1046100,2438300
42000,16906,358,78216,1187300,2552000
43000,13061,194,50955,1064900,2605800
44000,17584,209,69625,1277200,3665300
45000,14227,207,49143,1226800,2964600
46000,15094,202,69375,1140800,3161500
47000,13013,198,53684,1388200,2684300
48000,17787,335,70578,1227700,3309600
49000,15658,330,126233,1362000,2975200
50000,14833,205,177587,1322500,3106000
51000,15533,220,92161,1227900,3098300
52000,16094,203,62322,1261400,3026600
53000,14408,202,80853,1298200,3241500
54000,16224,189,58985,1457000,4212500
55000,18370,206,68620,1285100,3200900
56000,15706,191,72750,1412100,3219200
57000,16111,209,87657,1433500,3361500
58000,17061,178,68898,1353100,3275800
59000,16613,188,70015,1530400,3717200
60000,18132,201,88722,1401900,3375000
61000,20655,195,78075,1501400,3744800
62000,15693,209,72900,1462300,3606400
63000,18707,215,76000,1763900,3957300
64000,19361,219,235696,1713500,3988400
65000,20279,229,128937,1757600,3996900
66000,23039,225,103921,1845400,4116700
67000,21703,244,408858,1832600,3884100
